Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Senior Data Scientist (Machine Learning) ,Welltech,Remote,Data  SQL  Data analysis  Machine learning,,,
 Senior Data Scientist ,Devire,Łódź,Data  Python  SQL  DAX,25200,29400,PLN
 Data Scientist | Branża elektroniczna ,Edge One Solutions Sp. z o.o.,Warszawa,AI  ML  scikit-learn  TensorFlow,,,
 Senior Data Scientist ,Link Group,Gdynia,Data  Python  Hadoop  Machine learning,17000,22000,PLN
 Senior Data Scientist ,Adform Sp. z o.o.,Warszawa,Data  Machine learning  Analytical skills  Python,22400,28823,PLN
 Senior Data Scientist ,DATAPAO Kft.,Remote,Data  Python  Big data  Data science,16254,21672,PLN
 Senior Data Scientist - Computer Vision ,Tesco Technology,Kraków,Data  Python  Testing  Docker,26000,36000,PLN
 Data Scientist  ,Avenga,Remote,Data  Computer vision  NLP  SQL,25200,28560,PLN
 Senior Data Scientist ,DATAPAO Kft.,Remote,Consulting  Python  Data  Big data,16254,21672,PLN
 Data Scientist ,Connectis_,Remote,Data  AI  Machine learning  Python,25200,28560,PLN
 Expert python engineer for data science startup ,Windsor.ai,Remote,Backend  Data scientist  Python  Flask,9571,17227,PLN
 Senior Technical Project Manager ,RTB House,Remote,Project Manager  Data scientist  Project management  Web technologies,27000,35000,PLN
 Senior Machine Learning Engineer ,SoftServe,Remote,AI  Python  AWS  GCP,20000,30000,PLN
 Senior Machine Learning Engineer (Future Opening) ,Xebia sp. z o.o.,Remote,Data  Python  Cloud  CI/CD,20100,33600,PLN
 ML Ops Engineer ,HARMAN Connected Services,Remote,AI  Python  Data science  Machine learning,17300,24700,PLN
 Ekspert/Ekspertka Data Science ,UNIQA Polska,Warszawa,Data  SQL  AI  OSI,,,
 Remote Senior Data Engineer ,Varwise,Remote,Data  Scala  Spark  AWS,7500,10000,USD
 Senior Technical Project Manager ,Crestt,Remote,Project Manager  Switches  LAN  WAN,18480,23520,PLN
 Senior Python Developer - Remote ,Link Group,Remote,Backend  Python  FastAPI  Flask,23520,28560,PLN
 Senior Big Data Developer (Java/Scala) ,Jit Team,Warsaw,Data  Java  Scala  Spark,19000,27300,PLN
 Big Data DBA  ,Adaptiq,Remote,Data  K8  OCP  WebLogic,6500,6800,USD
 Senior ML Engineer (NLP and LLMs) ,Brainly Sp. z o.o.,Remote,AI  Python  NLP  Deep learning,26000,35000,PLN
 ML Engineer (NLP and LLMs) ,Brainly Sp. z o.o.,Remote,AI  Python  NLP  Deep learning,17500,26000,PLN
 Azure Cloud Engineer - Azure AI Services (pharma) ,7N Sp. z o.o.,Remote,AI  Azure  Azure Cloud  Azure AI services,24360,26880,PLN
 Senior Data Engineer GCP - Remote  ,Link Group,Remote,Data  SQL  GCP  BigQuery,21840,30240,PLN
 Senior Data Solution Architect/ Data Architect ,Altimetrik Poland,Remote,Data  Python  ETL  Azure,27000,37000,PLN
 AI/ML Engineer ,Engenious,Remote,AI  Python  AI  Computer vision,26880,33600,PLN
 Lead Data Engineer ,Sunscrapers,Remote,Data  Python  SQL  Data warehouses,30000,45000,PLN
 Senior AI/ML Engineer ,Sii Polska,Białystok,AI  AWS  Machine learning  MLOps,24000,30000,PLN
 AI Engineer ,Grape Up,Remote,AI  Python  LLM  AI,19800,28900,PLN
 Software Development Manager - Machine Learning ,Tesco Technology,Kraków,Data  Python  MLOps  Team management,28000,40000,PLN
 Senior NLP Engineer ,Sigmoidal,Remote,AI  Python  NLP  Machine learning,31000,37000,PLN
 Senior/Expert Data/ML Engineer ,Nordea Bank ABP,Gdynia,Data  SQL  AI  Degree,,,
 Data Analyst ,Sunscrapers,Remote,Data  SQL  Data analysis  Data visualization,20000,25000,PLN
 Senior Technical Project Manager ,Tangent,Poznań,Project Manager  Project management  Jira  Confluence,18000,26000,PLN
 Lead Python Developer Django / Flask / Node.js ,1dea,Remote,Backend  Python  Django  Flask,22680,26040,PLN
 Data Analytics Manager - Operation Department ,T-Mobile Polska,Warszawa,Data  Data analysis  Relational database  MS SQL,,,
 Data Infrastructure Lead ,IPF Digital,Warszawa,Data  AWS  SQL  Python,,,
 NLP/AI Engineer ,VML Enterprise Solutions,Remote,AI  Python  AI  Communication skills,13000,17000,PLN
 Junior ML/NLP Engineer ,Ink Solutions sp. z o.o,Warsaw,AI  Machine learning  Algorithms  NLP,4500,4500,PLN
